"sample.no","complexity","depth","year.x","","sanctuary","status","site.new","year.y"
1,0,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
2,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
3,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
4,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
5,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
6,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
7,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
8,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
9,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
10,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
11,3,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
12,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
13,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
14,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
15,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
16,3,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
17,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
18,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
19,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
20,0,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
21,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
22,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
23,3,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
24,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
25,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
26,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
27,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
28,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
29,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
30,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
31,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
32,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
33,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
34,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
35,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
36,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
37,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
38,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
39,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
40,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
41,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
42,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
43,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
44,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
45,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
46,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
47,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
48,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
49,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
50,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
51,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
52,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
53,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
54,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
55,3,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
56,3,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
57,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
58,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
59,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
60,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
61,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
62,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
63,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
64,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
65,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
66,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
67,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
68,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
69,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
70,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
71,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
72,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
73,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
74,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
75,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
76,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
77,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
78,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
79,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
80,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
81,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
82,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
83,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
84,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
85,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
86,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
87,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
88,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.City of York",2014
89,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
90,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
91,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
92,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
93,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
94,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
95,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
96,0,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
97,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
98,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
99,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
100,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
101,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
102,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
103,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
104,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
105,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
106,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
107,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
108,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
109,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
110,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
111,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
112,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
113,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
114,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
115,3,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
116,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
117,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
118,4,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Ricey Beach",2014
119,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
120,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
121,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
122,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
123,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
124,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
125,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
126,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
127,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
128,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
129,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
130,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
131,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
132,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
133,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
134,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
135,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
136,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
137,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
138,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
139,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
140,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
141,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
142,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
143,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
144,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
145,0,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
146,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
147,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
148,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
149,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
150,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
151,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
152,0,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
153,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
154,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
155,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
156,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
157,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
158,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
159,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
160,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
161,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
162,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
163,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
164,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
165,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
166,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
167,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
168,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
169,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
170,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
171,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
172,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
173,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
174,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
175,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
176,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
177,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
178,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
179,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
180,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
181,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
182,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
183,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Parker Point",2014
184,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
185,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
186,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
187,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
188,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
189,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
190,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
191,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
192,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
193,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
194,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
195,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
196,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
197,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
198,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
199,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
200,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
201,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
202,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
203,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
204,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
205,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
206,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
207,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
208,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
209,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
210,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
211,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
212,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
213,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
214,0,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
215,3,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
216,1,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
217,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
218,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
219,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
220,4,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
221,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
222,2,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
223,1,0,2014,NA,"Parker Point","Fished","Parker Point.Fished.Parker Point",2014
224,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
225,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
226,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
227,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
228,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
229,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
230,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
231,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
232,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
233,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
234,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
235,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
236,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
237,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
238,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
239,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
240,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
241,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
242,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
243,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
244,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
245,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
246,4,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
247,2,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
248,3,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
249,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
250,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
251,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
252,1,0,2014,NA,"Parker Point","No-take","Parker Point.No-take.Little Salmon",2014
253,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
254,1,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
255,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
256,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
257,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
258,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
259,4,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
260,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
261,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
262,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
263,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
264,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
265,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
266,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
267,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
268,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
269,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
270,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
271,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
272,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
273,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
274,1,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
275,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
276,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
277,4,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
278,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
279,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
280,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
281,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
282,1,0,2014,NA,"Green Island","No-take","Green Island.No-take.Green Island",2014
283,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
284,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
285,1,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
286,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
287,4,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
288,1,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
289,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
290,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
291,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
292,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
293,4,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
294,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
295,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
296,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
297,4,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
298,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
299,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
300,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
301,4,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
302,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
303,0,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
304,4,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
305,4,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
306,0,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
307,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
308,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
309,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
310,2,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
311,3,0,2014,NA,"Green Island","No-take","Green Island.No-take.Mary Cove",2014
312,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Geordie Bay",2014
313,1,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Geordie Bay",2014
314,2,0,2014,NA,"Armstrong Bay","Fished","Armstrong Bay.Fished.Geordie Bay",2014
